stream_path,line_id,speech_ratio,keep_spans,dropped
ds/sounds/wwise_cinematics_sound_resource/cs00/sq_cs00_s00220/wav/english/windows/sq_cs00_s00220_voice_track.english.core.stream,sq_cs00_s00220#track0,0.6422,8.203:65.552;88.308:140.983;142.106:169.232;192.697:207.015,0
ds/sounds/wwise_cinematics_sound_resource/cs00/sq_cs00_s00200/wav/english/windows/sq_cs00_s00200_voice_track.english.core.stream,sq_cs00_s00200#track0,0.0,,1
ds/sounds/wwise_cinematics_sound_resource/cs08/sq_cs08_s01020/wav/english/windows/sq_cs08_s01020_voice_track.english.core.stream,sq_cs08_s01020#track0,0.7785,1.436:31.33;32.03:41.91,0
ds/sounds/wwise_cinematics_sound_resource/cs02/sq_cs02_s00550/wav/english/windows/sq_cs02_s00550_voice_track.english.core.stream,sq_cs02_s00550#track0,0.7753,13.181:35.65;39.708:61.84;62.642:90.342;97.674:123.687;126.058:155.766;163.807:206.07,0
ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s50600/c209/wav/english/windows/sq_cs71_s50600_c209_voice_track.english.core.stream,sq_cs71_s50600_c209#track0,0.1444,,1
ds/sounds/wwise_cinematics_sound_resource/cs77/sq_cs77_s00202/wav/english/windows/sq_cs77_s00202_voice_track.english.core.stream,sq_cs77_s00202#track0,0.3531,4.507:13.51,0
ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00600/c200/wav/english/windows/sq_cs71_s00600_c200_voice_track.english.core.stream,sq_cs71_s00600_c200#track0,0.1377,,1
ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00600/c201/wav/english/windows/sq_cs71_s00600_c201_voice_track.english.core.stream,sq_cs71_s00600_c201#track0,0.0,,1
ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00600/c202/wav/english/windows/sq_cs71_s00600_c202_voice_track.english.core.stream,sq_cs71_s00600_c202#track0,0.0956,,1
ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00600/c204/wav/english/windows/sq_cs71_s00600_c204_voice_track.english.core.stream,sq_cs71_s00600_c204#track0,0.0,,1
ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00600/c205/wav/english/windows/sq_cs71_s00600_c205_voice_track.english.core.stream,sq_cs71_s00600_c205#track0,0.0,,1
ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00600/c207/wav/english/windows/sq_cs71_s00600_c207_voice_track.english.core.stream,sq_cs71_s00600_c207#track0,0.0,,1
ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00920/c102/wav/english/windows/sq_cs71_s00920_c102_voice_track.english.core.stream,sq_cs71_s00920_c102#track0,0.048,,1
ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s50600/c210/wav/english/windows/sq_cs71_s50600_c210_voice_track.english.core.stream,sq_cs71_s50600_c210#track0,0.0,,1
ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s50600/c211/wav/english/windows/sq_cs71_s50600_c211_voice_track.english.core.stream,sq_cs71_s50600_c211#track0,0.0,,1
ds/sounds/wwise_cinematics_sound_resource/cs07/sq_cs07_s01000/wav/english/windows/sq_cs07_s01000_voice_track.english.core.stream,sq_cs07_s01000#track0,0.2259,46.458:49.082;77.154:104.432;108.93:126.943;215.124:238.487;258.712:265.656;311.16:312.484,0
ds/sounds/wwise_cinematics_sound_resource/cs03/sq_cs03_s01300/wav/english/windows/sq_cs03_s01300_voice_track.english.core.stream,sq_cs03_s01300#track0,0.2125,21.618:41.252;67.788:69.636,0
ds/sounds/wwise_cinematics_sound_resource/cs01/sq_cs01_s00500/wav/english/windows/sq_cs01_s00500_voice_track.english.core.stream,sq_cs01_s00500#track0,0.6456,21.095:51.664;53.546:99.37;100.644:114.692;127.678:156.627,0
ds/sounds/wwise_cinematics_sound_resource/cs07/sq_cs07_s00850/wav/english/windows/sq_cs07_s00850_voice_track.english.core.stream,sq_cs07_s00850#track0,0.7675,3.798:33.017;33.684:47.833,0
ds/sounds/wwise_cinematics_sound_resource/cs80/sq_cs80_s00100/c007/wav/english/windows/sq_cs80_s00100_c007_voice_track.english.core.stream,sq_cs80_s00100_c007#track0,0.7718,4.794:31.245;34.19:61.958;65.072:92.957;94.063:101.175,0
ds/sounds/wwise_cinematics_sound_resource/cs06/sq_cs06_s00500/wav/english/windows/sq_cs06_s00500_voice_track.english.core.stream,sq_cs06_s00500#track0,0.8923,11.612:36.358;39.32:65.569;66.793:91.54;94.13:119.67;120.388:149.944;151.05:180.032;180.564:208.146;210.669:239.618;240.15:268.12;268.854:284.607;285.56:311.91;312.83:386.835;387.57:467.599;470.088:498.126,0
ds/sounds/wwise_cinematics_sound_resource/cs06/sq_cs06_s01100/wav/english/windows/sq_cs06_s01100_voice_track.english.core.stream,sq_cs06_s01100#track0,0.1849,24.285:41.083,0
ds/sounds/wwise_cinematics_sound_resource/cs07/sq_cs07_s00400/wav/english/windows/sq_cs07_s00400_voice_track.english.core.stream,sq_cs07_s00400#track0,0.7936,0.0:25.018;26.04:39.008,0
ds/sounds/wwise_cinematics_sound_resource/cs08/sq_cs08_s00350/wav/english/windows/sq_cs08_s00350_voice_track.english.core.stream,sq_cs08_s00350#track0,0.5171,20.657:40.527;56.583:86.646;94.991:107.537,0
ds/sounds/wwise_cinematics_sound_resource/cs05/sq_cs05_s01100/wav/english/windows/sq_cs05_s01100_voice_track.english.core.stream,sq_cs05_s01100#track0,0.7576,1.942:30.216;36.823:64.911;66.658:111.351,0
