scene,status,track_index,voice_track_stream
sq_cs06_s00500,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs06/sq_cs06_s00500/wav/english/windows/sq_cs06_s00500_voice_track.english.core.stream
sq_cs06_s01100,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs06/sq_cs06_s01100/wav/english/windows/sq_cs06_s01100_voice_track.english.core.stream
sq_cs07_s00400,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs07/sq_cs07_s00400/wav/english/windows/sq_cs07_s00400_voice_track.english.core.stream
sq_cs08_s00350,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs08/sq_cs08_s00350/wav/english/windows/sq_cs08_s00350_voice_track.english.core.stream
sq_cs05_s01100,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs05/sq_cs05_s01100/wav/english/windows/sq_cs05_s01100_voice_track.english.core.stream
sq_cs05_s00800,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs05/sq_cs05_s00800/wav/english/windows/sq_cs05_s00800_voice_track.english.core.stream
sq_cs02_s00500,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs02/sq_cs02_s00500/wav/english/windows/sq_cs02_s00500_voice_track.english.core.stream
sq_cs80_s00100_c003,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs80/sq_cs80_s00100/c003/wav/english/windows/sq_cs80_s00100_c003_voice_track.english.core.stream
sq_cs07_s00100,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs07/sq_cs07_s00100/wav/english/windows/sq_cs07_s00100_voice_track.english.core.stream
sq_cs77_s00208,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs77/sq_cs77_s00208/wav/english/windows/sq_cs77_s00208_voice_track.english.core.stream
sq_cs01_s00800,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs01/sq_cs01_s00800/wav/english/windows/sq_cs01_s00800_voice_track.english.core.stream
sq_cs77_s00207,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs77/sq_cs77_s00207/wav/english/windows/sq_cs77_s00207_voice_track.english.core.stream
